iter	RMSE
0	1.163283209
1	1.140429005
2	1.118832789
3	1.098813854
4	1.080208292
5	1.062754388
6	1.046771505
7	1.03168854
8	1.017890808
9	1.004964211
10	0.9926183559
11	0.9812191604
12	0.9703738884
13	0.9606638951
14	0.9512204006
15	0.9426702692
16	0.9346184944
17	0.9270943785
18	0.9200979783
19	0.9136583511
20	0.9077183218
21	0.902206289
22	0.8971120906
23	0.892118776
24	0.8877859532
25	0.8834911875
26	0.8794499546
27	0.8759463793
28	0.8721933762
29	0.8688630231
30	0.8657984785
31	0.8630295533
32	0.8603335483
33	0.8578565791
34	0.8555890023
35	0.8534970306
36	0.8512821533
37	0.8494553756
38	0.8474644625
39	0.8458255955
40	0.8441034876
41	0.8422738046
42	0.8409465401
43	0.8394787323
44	0.8382155432
45	0.8370945242
46	0.8360224882
47	0.8348640609
48	0.8336295074
49	0.8325215878
50	0.831349043
51	0.830369466
52	0.8294202844
53	0.8284741081
54	0.8276640746
55	0.8268017438
56	0.8260607654
57	0.8253522369
58	0.8243862953
59	0.8236055137
60	0.8230216639
61	0.8224416551
62	0.821332319
63	0.8206199763
64	0.8199566777
65	0.8194439338
66	0.8184491758
67	0.8179148972
68	0.8174057628
69	0.8170093283
70	0.8165658684
71	0.8159425415
72	0.8150642387
73	0.8146433341
74	0.814364267
75	0.8137796405
76	0.8129999637
77	0.8122918998
78	0.8116303365
79	0.8112371479
80	0.8107177412
81	0.8103326769
82	0.8099958849
83	0.8093985332
84	0.8090087563
85	0.8084869835
86	0.808099873
87	0.8074643533
88	0.8067986527
89	0.8063192652
90	0.8059636213
91	0.805710187
92	0.8051281809
93	0.8048359071
94	0.8046408335
95	0.803992631
96	0.8035896297
97	0.8030400547
98	0.8028053243
99	0.8025388031
100	0.8019555542
101	0.8015959081
102	0.8011090353
103	0.8006972727
104	0.8004591721
105	0.8002729496
106	0.799921706
107	0.7996152535
108	0.7992394988
109	0.798975292
110	0.7987904946
111	0.7985490321
112	0.7983341093
113	0.7979997493
114	0.7977876438
115	0.7973962742
116	0.7971055653
117	0.7968647191
118	0.796554793
119	0.7962215311
120	0.7959983229
121	0.7957861505
122	0.7954398171
123	0.7950599042
124	0.7948276785
125	0.7946440013
126	0.7944273894
127	0.7942858822
128	0.7939502551
129	0.7937682541
130	0.7935670511
131	0.7933353842
132	0.7931186185
133	0.7929105131
134	0.7927170507
135	0.792497576
136	0.7922839139
137	0.792109595
138	0.791838127
139	0.7916260598
140	0.7913794433
141	0.7912789289
142	0.7911744131
143	0.7909694259
144	0.7906441025
145	0.7904036398
146	0.7901898752
147	0.7898643843
148	0.7896938247
149	0.7894031583
150	0.7893164649
151	0.7891593018
152	0.7888539818
153	0.78860323
154	0.7884519513
155	0.7883045191
156	0.7882263662
157	0.7878441685
158	0.7877000595
159	0.7875515113
160	0.7873359616
161	0.7871397199
162	0.7869413926
163	0.7867995859
164	0.7865714901
165	0.7862326596
166	0.7860807793
167	0.78589103
168	0.7856908587
169	0.7855083975
170	0.7854087767
171	0.7852029824
172	0.7850672731
173	0.7849027014
174	0.7847570254
175	0.7846059837
176	0.7844540217
177	0.7843280575
178	0.7841917842
179	0.7840278885
180	0.7839309902
181	0.7838174282
182	0.7836789012
183	0.7835102334
184	0.7832986742
185	0.7831579944
186	0.7830756425
187	0.7829585247
188	0.7827436443
189	0.7825791307
190	0.7824530505
191	0.7823576087
192	0.7822299532
193	0.7821102401
194	0.7820069089
195	0.7819201222
196	0.781715576
197	0.7815296678
198	0.7814462645
199	0.781326341
200	0.781113049
201	0.7809275341
202	0.7808334411
203	0.7806944492
204	0.7804423321
205	0.7801777708
206	0.7800659012
207	0.779954086
208	0.7798264257
209	0.779752734
210	0.7794623506
211	0.7794122336
212	0.7792889843
213	0.7791444658
214	0.7789796118
215	0.778842597
216	0.7786573802
217	0.7785440048
218	0.7784251571
219	0.7783416482
220	0.7781641468
221	0.778014545
222	0.777919295
223	0.7777255655
224	0.7776463541
225	0.7774999078
226	0.7774099625
227	0.7772031981
228	0.7770640882
229	0.7769055588
230	0.7766850765
231	0.7765071579
232	0.776433276
233	0.7762101579
234	0.7759986833
235	0.775868146
236	0.775717806
237	0.7756453437
238	0.7754263758
239	0.7753530745
240	0.7752082368
241	0.7750263206
242	0.7749281822
243	0.774783876
244	0.774600929
245	0.7744972949
246	0.7743162996
247	0.7742024817
248	0.7741159969
249	0.7740270332
250	0.7738789223
251	0.7738422187
252	0.7737479306
253	0.7736480381
254	0.7735297031
255	0.7733654612
256	0.7732300882
257	0.7730262127
258	0.7729688017
259	0.7728425123
260	0.7727853954
261	0.7726573822
262	0.7725786574
263	0.7725120232
264	0.7724299031
265	0.7722937311
266	0.7722043546
267	0.772061219
268	0.7719468566
269	0.771809743
270	0.7716912723
271	0.7716037714
272	0.7715178837
273	0.7713782784
274	0.7712261803
275	0.7710666594
276	0.7710116223
277	0.7709065876
278	0.7708420214
279	0.7707878329
280	0.7706381353
281	0.7705271979
282	0.7704380603
283	0.7703127828
284	0.770225427
285	0.7700927
286	0.7700128746
287	0.7699339581
288	0.7698560108
289	0.7697483506
290	0.7696183689
291	0.7694833286
292	0.7693788467
293	0.7692954281
294	0.7692325279
295	0.7690773088
296	0.7689673244
297	0.7688895933
298	0.7687688055
299	0.7686552541
300	0.7684984465
301	0.7684239643
302	0.7683318731
303	0.7682448187
304	0.7681533627
305	0.7680560856
306	0.7678468733
307	0.7677256831
308	0.7676888151
309	0.7675513196
310	0.7675004314
311	0.7673758669
312	0.7672689923
313	0.7672086532
314	0.7670782894
315	0.7670232586
316	0.766859885
317	0.7666961476
318	0.7665558544
319	0.7664663069
320	0.766388143
321	0.7663217421
322	0.7662231139
323	0.7661456832
324	0.7660840333
325	0.7660019238
326	0.7659211637
327	0.7658385727
328	0.7657664792
329	0.7656936638
330	0.7655655993
331	0.7654685659
332	0.7652247607
333	0.7651178151
334	0.7650138202
335	0.7649583923
336	0.764859551
337	0.7647479935
338	0.7646482449
339	0.7645750786
340	0.7644651732
341	0.7644276019
342	0.7642535616
343	0.7641909851
344	0.764100679
345	0.7640578921
346	0.7639205807
347	0.763803847
348	0.7636797833
349	0.7636431148
350	0.7635208735
351	0.7634820593
352	0.7634214672
353	0.7632710637
354	0.763226781
355	0.7631136202
356	0.7630146109
357	0.7629072996
358	0.7628665044
359	0.762752776
360	0.7625814759
361	0.7625062403
362	0.7623370439
363	0.7622349633
364	0.7621635018
365	0.7620562613
366	0.7619670399
367	0.7618880915
368	0.7618186733
369	0.761779924
370	0.7617250445
371	0.7616874472
372	0.7616350852
373	0.7615796846
374	0.7614743947
375	0.7614171504
376	0.7613650562
377	0.761292995
378	0.7612391042
379	0.7611764566
380	0.7610967647
381	0.7609401885
382	0.7608499934
383	0.7607323103
384	0.7606593451
385	0.7605338519
386	0.7604874992
387	0.7603771352
388	0.7602560536
389	0.7601091308
390	0.7600426277
391	0.7599687993
392	0.7598976669
393	0.7597967735
394	0.7597187567
395	0.7596343982
396	0.7595635528
397	0.759467097
398	0.7593751261
399	0.7593129912
400	0.7592372338
401	0.7591629759
402	0.759112594
403	0.7590207708
404	0.7589248228
405	0.7588765017
406	0.7588452374
407	0.7587427259
408	0.7586654274
409	0.7586160236
410	0.758562374
411	0.7584945495
412	0.7583322321
413	0.7581896587
414	0.7581201402
415	0.758075113
416	0.7580080273
417	0.7579712223
418	0.7578919494
419	0.7577458529
420	0.7576668096
421	0.7575826328
422	0.7575279621
423	0.7574437302
424	0.7573803454
425	0.757271009
426	0.7571986459
427	0.7570950999
428	0.7570444178
429	0.757018032
430	0.7569540879
431	0.7569129515
432	0.7568349298
433	0.7567643535
434	0.7567010477
435	0.756616118
436	0.7565602931
437	0.7564834795
438	0.7564006828
439	0.7563388953
440	0.7563167304
441	0.7562897602
442	0.7561637623
443	0.7561059037
444	0.7559925068
445	0.7559147732
446	0.7557870936
447	0.7557612367
448	0.7557066755
449	0.7556590337
450	0.755553616
451	0.7554809227
452	0.7554336469
453	0.7553942333
454	0.7553401939
455	0.7552804118
456	0.7552096553
457	0.7551431269
458	0.7550383255
459	0.7549908675
460	0.7549720954
461	0.7549062347
462	0.7548158259
463	0.7547746524
464	0.7546879415
465	0.7546455646
