iter	RMSE
0	1.175095387
1	1.162466016
2	1.150426646
3	1.138985527
4	1.128060833
5	1.117687724
6	1.107662482
7	1.098172026
8	1.089043151
9	1.080389229
10	1.072004812
11	1.063892716
12	1.056283311
13	1.048858867
14	1.041834228
15	1.035091328
16	1.028717996
17	1.022626404
18	1.016759132
19	1.011181091
20	1.005847252
21	1.000698809
22	0.9958743207
23	0.9912097393
24	0.9867385249
25	0.9825344283
26	0.9785736946
27	0.9746818136
28	0.971001121
29	0.9674325494
30	0.964075792
31	0.9608979685
32	0.9577106424
33	0.9547962165
34	0.9519976623
35	0.9492110755
36	0.9466639253
37	0.9442184971
38	0.9418878054
39	0.9397099748
40	0.9373341399
41	0.9350239295
42	0.933100842
43	0.9312107928
44	0.9292315297
45	0.9274650371
46	0.9257078657
47	0.9241128913
48	0.9225370685
49	0.9210430983
50	0.9194885337
51	0.9181656678
52	0.9167726071
53	0.9155499814
54	0.9143399232
55	0.9129510204
56	0.9117379712
57	0.9106294822
58	0.9093944455
59	0.9082809697
60	0.9073344351
61	0.9064448998
62	0.9055694975
63	0.9047267501
64	0.903899936
65	0.9030089758
66	0.9021292567
67	0.9013687738
68	0.9005607502
69	0.8998702635
70	0.8991608003
71	0.898526436
72	0.8974461058
73	0.8967740682
74	0.8961945006
75	0.8955585129
76	0.895015876
77	0.8944914244
78	0.893878033
79	0.8929675188
80	0.8925049677
81	0.8920078506
82	0.8914220857
83	0.8910133007
84	0.8905038863
85	0.8901078363
86	0.8893454218
87	0.8888130448
88	0.8884089826
89	0.8877263133
90	0.8873674816
91	0.886985639
92	0.8866297531
93	0.886337769
94	0.8859284993
95	0.8855023415
96	0.8851723863
97	0.8848439801
98	0.8845501029
99	0.8842379771
100	0.8838897074
101	0.8835080535
102	0.8830397927
103	0.8825493637
104	0.8822307607
105	0.8817693211
106	0.8814135404
107	0.8812052132
108	0.8809843065
109	0.8806531479
110	0.8804544474
111	0.8802580141
112	0.8797576253
113	0.8792727228
114	0.8790504655
115	0.8788507313
116	0.8786867432
117	0.8784410487
118	0.8781720097
119	0.8779355099
120	0.8774321547
121	0.8772798831
122	0.8768817302
123	0.8767335936
124	0.8765673795
125	0.8761682944
126	0.8760031625
127	0.8758488751
128	0.8757010086
129	0.8753814699
130	0.8749399322
131	0.8747157942
132	0.8745933542
133	0.8744722556
134	0.8743574991
135	0.8742458895
136	0.8741169397
137	0.8737240281
138	0.8735879641
139	0.873402777
140	0.8732812773
141	0.8729814142
142	0.8726432629
143	0.8725066796
144	0.8721128631
145	0.8719832948
146	0.8717425678
147	0.8716448346
148	0.87143746
149	0.8713142726
150	0.8711988026
151	0.8708258409
152	0.870708437
153	0.8703875659
154	0.870274002
155	0.8701785691
156	0.8698784601
157	0.869754842
158	0.8694001815
159	0.8692984251
160	0.8690229361
161	0.8688532032
162	0.8686035563
163	0.8684623576
164	0.8683533036
165	0.868242517
166	0.868132089
167	0.8680592398
168	0.867968131
169	0.8678592413
170	0.8677163088
171	0.8675012723
172	0.8674067437
173	0.8673074755
174	0.8672114198
175	0.8671338302
176	0.8670608355
177	0.8669666586
178	0.8668396832
179	0.8667329091
180	0.8666588165
181	0.8664158524
182	0.8662196156
183	0.8660421487
184	0.8657557929
185	0.8656890363
186	0.8656001867
187	0.8655329759
188	0.8653455728
189	0.8652835908
190	0.8651911295
191	0.8650965949
192	0.8650023647
193	0.8648067436
194	0.8647243788
195	0.8646386041
196	0.8645539898
197	0.8642878846
198	0.8640625245
199	0.863973004
200	0.8638682826
201	0.8637870715
202	0.8636627962
203	0.8635920044
204	0.8634969297
205	0.863397079
206	0.8633443451
207	0.8631539259
208	0.863016538
209	0.8629661309
210	0.8629004871
211	0.862788636
212	0.8626925518
213	0.862630302
214	0.8625481639
215	0.8624730618
216	0.8624067564
217	0.8622023768
218	0.8621001649
219	0.8620388308
220	0.8619420493
221	0.8618762266
222	0.8617937727
223	0.8617139838
224	0.8616338166
225	0.8615598594
226	0.8613318792
227	0.8611182586
228	0.8610590372
229	0.8609316931
230	0.860868057
231	0.8608046266
232	0.8607540289
233	0.8606660235
234	0.860591786
235	0.8605163298
236	0.860434939
237	0.860296257
238	0.8602390833
239	0.8601740194
240	0.8600302956
241	0.8599866198
242	0.8599029644
243	0.8598488438
244	0.8597872458
245	0.8597341217
246	0.8595575934
247	0.8594980436
248	0.8594415676
249	0.8593826371
250	0.8591835409
251	0.8591196927
252	0.8590515186
253	0.8589252141
254	0.8588666663
255	0.8588135908
256	0.8587375925
257	0.8586136272
258	0.8585381996
259	0.8584630322
260	0.8584034498
261	0.8583331888
262	0.8582552719
263	0.8581869971
