iter	Passed	Remaining
0	900	900049
1	1724	860411
2	2660	884294
3	3554	885167
4	4320	859821
5	5134	850536
6	5809	824161
7	6484	804036
8	7270	800562
9	7968	788903
10	8597	773002
11	9303	765967
12	9986	758185
13	10627	748485
14	11240	738123
15	11897	731698
16	12649	731432
17	13326	727032
18	14166	731421
19	14917	730951
20	15741	733857
21	16596	737781
22	17442	740914
23	18505	752557
24	19359	755016
25	20069	751831
26	20746	747631
27	21468	745271
28	22217	743914
29	22953	742153
30	23684	740338
31	24358	736839
32	25055	734216
33	25768	732136
34	26449	729249
35	27157	727207
36	27804	723674
37	28589	723765
38	29283	721569
39	29996	719914
40	30819	720879
41	31663	722238
42	32280	718423
43	33002	717043
44	33778	716859
45	34549	716530
46	35362	717039
47	36112	716226
48	36930	716745
49	37697	716254
50	38573	717771
51	39228	715165
52	39914	713185
53	40616	711540
54	41327	710075
55	42048	708810
56	42737	707043
57	43414	705103
58	44144	704069
59	44982	704720
60	45757	704360
61	46441	702616
62	47160	701413
63	47978	701691
64	48651	699829
65	49309	697808
66	49999	696268
67	50708	695009
68	51456	694292
69	52247	694141
70	53013	693651
71	53735	692589
72	54642	693881
73	55408	693355
74	56093	691815
75	56770	690209
76	57466	688850
77	58173	687644
78	58875	686381
79	59720	686782
80	60418	685494
81	61144	684519
82	61968	684637
83	62662	683321
84	63529	683881
85	64292	683293
86	65077	682943
87	65812	682054
88	66561	681321
89	67502	682521
90	68356	682812
91	69158	682563
92	69877	681495
93	70637	680829
94	71298	679215
95	72049	678469
96	72761	677356
97	73390	675490
98	74062	674046
99	74756	672804
100	75467	671731
101	76216	671003
102	77024	670786
103	77780	670110
104	78543	669487
105	79356	669286
106	80166	669049
107	80899	668170
108	81529	666445
109	82267	665622
110	82939	664262
111	83681	663476
112	84546	663650
113	85394	663680
114	86305	664174
115	87002	663019
116	87624	661305
117	88331	660243
118	89094	659599
119	89827	658733
120	90656	658569
121	91342	657368
122	92153	657060
123	92809	655653
124	93580	655063
125	94433	655037
126	95113	653811
127	95866	653091
128	96572	652053
129	97357	651546
130	98310	652153
131	99120	651790
132	99828	650762
133	100524	649657
134	101367	649501
135	102068	648434
136	102777	647424
137	103568	646928
138	104152	645148
139	105006	645042
140	105862	644936
141	106773	645149
142	107787	645969
143	108546	645248
144	109754	647173
145	110684	647428
146	111773	648591
147	112731	648969
148	113757	649713
149	114555	649149
150	115322	648403
151	116198	648264
152	116965	647515
153	117797	647123
154	118596	646544
155	119332	645619
156	120197	645392
157	120917	644381
158	121655	643472
159	122310	642131
160	123190	641968
161	123960	641228
162	124850	641101
163	125736	640948
164	126461	639970
165	127248	639310
166	128026	638599
167	128654	637146
168	129314	635862
169	129963	634527
170	130863	634421
171	131672	633866
172	132472	633264
173	133351	633038
174	134162	632478
175	134823	631216
176	135511	630091
177	136066	628352
